H_row_x,H_row_y,H_row_z,H_set,H_rowInv,H_rowInv_y,H_rowInv_z,Voltage,Current
-309,-30,-12,0.0,425,-1,-2022,0.0,0.0
-222,-53,-51,0.4,423,1,-1988,0.02,0.01
-135,-76,-86,0.8,422,-1,-1952,0.03,0.02
-18,-105,-134,1.2,429,-5,-1915,0.06,0.03
49,-122,-164,1.6,477,-1,-1875,0.09,0.04
180,-156,-215,2.0,541,32,-1838,0.11,0.05
280,-181,-258,2.4,563,-61,-1805,0.12,0.06
380,-206,-297,2.8000000000000003,984,-46,-1760,0.15,0.07
477,-232,-339,3.2,1299,-57,-1722,0.17,0.08
576,-257,-379,3.5999999999999996,-4096,-341,-1681,0.19,0.09
664,-281,-417,4.0,-4096,-118,-1639,0.22,0.1
773,-309,-462,4.4,-4096,-279,-1601,0.25,0.11
873,-336,-504,4.8,-4096,-417,-1562,0.25,0.12
970,-362,-545,5.2,-4096,-502,-1521,0.28,0.13
1068,-389,-585,5.6000000000000005,-4096,-560,-1482,0.31,0.14
1159,-413,-625,6.0,-4096,-662,-1448,0.33,0.15
1260,-442,-669,6.4,-4096,-748,-1402,0.34,0.16
1354,-467,-709,6.800000000000001,-4096,-691,-1361,0.37,0.17
1444,-492,-749,7.199999999999999,-4096,-774,-1323,0.38,0.18
1535,-516,-789,7.6,-4096,-762,-1279,0.41,0.19
1624,-542,-830,8.0,-4096,-752,-1241,0.44,0.2
1717,-567,-868,8.4,-4096,-737,-1201,0.44,0.21
1807,-592,-913,8.8,-4096,-720,-1159,0.47,0.22
1898,-613,-952,9.200000000000001,-4096,-704,-1117,0.5,0.23
1986,-633,-996,9.6,-4096,-682,-1077,0.51,0.24
-4096,-655,-1032,10.0,-4096,-661,-1040,0.53,0.25
-4096,-683,-1076,10.4,1986,-635,-994,0.57,0.26
-4096,-705,-1116,10.8,1900,-614,-955,0.59,0.27
-4096,-715,-1145,11.200000000000001,1810,-592,-913,0.6,0.28
-4096,-737,-1196,11.6,1723,-568,-874,0.63,0.29
-4096,-750,-1240,12.0,1627,-540,-830,0.66,0.3
-4096,-764,-1278,12.4,1540,-518,-793,0.66,0.31
-4096,-771,-1313,12.8,1445,-493,-750,0.69,0.32
-4096,-752,-1361,13.200000000000001,1360,-468,-711,0.72,0.33
-4096,-658,-1400,13.600000000000001,1260,-442,-670,0.74,0.34
-4096,-662,-1439,14.0,1168,-417,-630,0.76,0.35
-4096,-577,-1480,14.399999999999999,1101,-397,-598,0.79,0.36
-4096,-406,-1523,14.8,972,-364,-546,0.8,0.37
-4096,-493,-1543,15.2,877,-337,-506,0.82,0.38
-4096,-345,-1598,15.600000000000001,778,-311,-464,0.85,0.39
-4096,-224,-1641,16.0,677,-284,-423,0.87,0.4
-4096,-202,-1679,16.4,581,-259,-382,0.88,0.41
1385,-60,-1718,16.8,493,-236,-345,0.92,0.42
881,35,-1759,17.2,380,-207,-299,0.94,0.43
674,-60,-1798,17.6,282,-182,-258,0.95,0.44
585,-124,-1836,18.0,180,-155,-216,0.98,0.45
476,-56,-1869,18.400000000000002,101,-135,-184,1.01,0.46
431,-2,-1912,18.799999999999997,-19,-104,-135,1.01,0.47
421,-1,-1947,19.2,-122,-78,-91,1.04,0.48
424,-2,-1988,19.6,-219,-55,-53,1.07,0.49
