H_row_x,H_row_y,H_row_z,H_set,H_rowInv,H_rowInv_y,H_rowInv_z,Voltage,Current
-309,-30,-12,0.0,425,-1,-2022,0.0,0.0
-222,-53,-51,0.4,423,1,-1988,0.02,0.01
-135,-76,-86,0.8,422,-1,-1952,0.03,0.02
-18,-105,-134,1.2,429,-5,-1915,0.06,0.03
49,-122,-164,1.6,477,-1,-1875,0.09,0.04
180,-156,-215,2.0,541,32,-1838,0.11,0.05
280,-181,-258,2.4,563,-61,-1805,0.12,0.06
380,-206,-297,2.8000000000000003,984,-46,-1760,0.15,0.07
477,-232,-339,3.2,1299,-57,-1722,0.17,0.08
576,-257,-379,3.5999999999999996,-4096,-341,-1681,0.19,0.09
664,-281,-417,4.0,-4096,-118,-1639,0.22,0.1
773,-309,-462,4.4,-4096,-279,-1601,0.25,0.11
873,-336,-504,4.8,-4096,-417,-1562,0.25,0.12
970,-362,-545,5.2,-4096,-502,-1521,0.28,0.13
1068,-389,-585,5.6000000000000005,-4096,-560,-1482,0.31,0.14
1159,-413,-625,6.0,-4096,-662,-1448,0.33,0.15
1260,-442,-669,6.4,-4096,-748,-1402,0.34,0.16
1354,-467,-709,6.800000000000001,-4096,-691,-1361,0.37,0.17
1444,-492,-749,7.199999999999999,-4096,-774,-1323,0.38,0.18
1535,-516,-789,7.6,-4096,-762,-1279,0.41,0.19
1624,-542,-830,8.0,-4096,-752,-1241,0.44,0.2
